date,category,amount,description
2026-03-01,rent,3000.00,Monthly rent
2026-03-02,groceries,85.50,Whole Foods
2026-03-03,dining,42.00,Dinner at Luigi's
2026-03-05,transportation,45.00,Gas station
2026-03-06,utilities,185.00,Electric bill
2026-03-07,groceries,120.30,Costco
2026-03-08,entertainment,15.99,Netflix
2026-03-09,dining,28.50,Lunch meeting
2026-03-10,groceries,65.00,Trader Joe's
2026-03-11,subscriptions,14.99,Spotify
2026-03-12,transportation,35.00,Uber
2026-03-12,dining,55.00,Team dinner
2026-03-12,groceries,92.40,Weekly groceries
2026-03-12,subscriptions,9.99,iCloud
2026-03-12,utilities,45.00,Water bill
2026-03-12,entertainment,25.00,Movie tickets
