employee_id,quarter,rating,notes
E001,Q1-2025,4.8,Exceptional technical leadership
E001,Q2-2025,4.6,Led platform migration successfully
E002,Q1-2025,4.5,Strong mentorship contributions
E002,Q2-2025,4.7,Delivered mobile architecture ahead of schedule
E003,Q1-2025,3.9,Good campaign results but over budget
E003,Q2-2025,4.1,Improved team coordination
E004,Q1-2025,3.5,Growing steadily as new hire
E004,Q2-2025,3.8,Taking on more responsibility
E005,Q1-2025,4.2,Exceeded sales targets
E005,Q2-2025,4.0,Solid quarter with key renewals
E006,Q1-2025,3.7,Creative content output
E006,Q2-2025,3.6,Needs to improve deadline adherence
E007,Q1-2025,4.9,Top revenue generator
E007,Q2-2025,4.8,Expanded into new territory
E008,Q1-2025,4.0,Streamlined warehouse operations
E008,Q2-2025,4.3,Reduced costs by 12 percent
E009,Q1-2025,4.4,Strong pipeline automation work
E009,Q2-2025,4.6,Zero downtime deployments achieved
