id,product,category,amount,quantity,date
1,Widget A,Electronics,250.00,2,2024-01-15
2,Gadget B,Electronics,75.50,1,2024-01-16
3,Tool C,Hardware,180.00,3,2024-01-17
4,Part D,Hardware,45.00,10,2024-01-18
5,Widget E,Electronics,320.00,1,2024-01-19
6,Supply F,Office,22.50,5,2024-01-20
7,Device G,Electronics,150.00,2,2024-01-21
8,Material H,Hardware,95.00,4,2024-01-22
9,Accessory I,Electronics,210.00,3,2024-01-23
10,Tool J,Hardware,130.00,2,2024-01-24
11,Paper K,Office,15.00,20,2024-01-25
12,Widget L,Electronics,425.00,1,2024-01-26
13,Part M,Hardware,60.00,8,2024-01-27
14,Device N,Electronics,175.50,2,2024-01-28
15,Supply O,Office,35.00,6,2024-01-29
