bench_id,task_id
clawbench,cont-004-media-bias
clawbench,wfl-012
clawbench,cs-005-api-design
clawbench,db-004
clawbench,tool-002
clawbench,edu-004-curriculum-mapping
clawbench,web-015
clawbench,bio-003-gene-expression
clawbench,ds-004-time-series
clawbench,tool-004
clawbench,acct-005-financial-statements
clawbench,cs-003-log-analyzer
clawbench,db-002
clawbench,db-001
clawbench,fin-006
clawbench,bio-005-variant-annotation
clawbench,mm-006
clawbench,med-005-trial-eligibility
clawbench,tool-001
clawbench,sci-005-optimization
clawbench,sci-002-monte-carlo
clawbench,xdom-014
clawbench,ds-003-feature-engineering
claweval,C32zh_saas_metrics
claweval,C02zh_personal_finance
claweval,C03en_real_estate_finance
claweval,C08zh_personal_finance_3
claweval,C17en_devops_sop_design
claweval,C19en_ab_testing_sample_size
claweval,C23zh_academic_writing
claweval,C28zh_distributed_systems
claweval,C34zh_product_design
claweval,C37zh_income_tax_practice
claweval,C38zh_inventory_management
claweval,T001zh_email_triage
claweval,T003zh_calendar_scheduling
claweval,T004_calendar_scheduling
claweval,T005zh_email_reply_draft
claweval,T002_email_triage
claweval,T006_email_reply_draft
claweval,T012_expense_report
claweval,T013zh_meeting_notes
claweval,T014_meeting_notes
claweval,T027zh_api_config_audit
claweval,T028_api_config_audit
claweval,T029zh_cross_service_meeting
claweval,T031zh_escalation_budget_triage
claweval,T058zh_painting_identification
claweval,T079_officeqa_zipf_exponent
claweval,T078_officeqa_max_yield_spread
claweval,T082_officeqa_qoq_esf_change
claweval,T085_officeqa_army_expenditures
claweval,T096_pinbench_business_metrics_summary
claweval,T106_job_failure_triage
claweval,T114_meeting_preparation
claweval,T118_customer_followup
claweval,T122_industry_briefing
claweval,T139zh_customer_relationship_warning
claweval,T140_customer_relationship_warning
claweval,T159zh_vip_ticket_escalation
claweval,T162_automation_failure_recovery
